Item, Qty, Price (CAD), Link, Note
Outdoor P5 64x32 LED Panel (320mmx160mm), 4, $108.76, https://www.aliexpress.com/item/1005003654005236.html, 1/8 scan
2x4 wood, 1, $0.00, n/a,
1/8 in plywood 3'x6', 1, $0.00, n/a,
2.54 MM Pitch DC3 2x8 16P Socket Box Header, 10, $2.25, https://www.aliexpress.com/item/1005004252439201.html, PCB connector
SN74AHCT245PWR TSSOP20 Level Shifter 3V3 to 5V, 10, $4.19, https://www.aliexpress.com/item/1005006837883056.html, Translator for LED Panel
ESP32 Devkit, 1, $0.00, n/a,
1206 Blue LED, 1, $0.80, https://leeselectronic.com/en/product/55614-led-1206-smd-blue.html,
100nF 1206 Ceramic Capacitor, 19, $0.00, n/a
470uF 25V Electrolytic Capacitor, 1, $0.00, n/a
1kΩ 1206 Resistor, 1, $0.00, n/a
10kΩ THT Resistor, 4, $0.00, n/a, Pulldown Resistor & Resistor Ladder
1kΩ THT Resistor, 2, $0.00, n/a, Resistor Ladder
2.2kΩ THT Resistor, 2, $0.00, n/a, Resistor Ladder
4.7kΩ THT Resistor, 2, $0.00, n/a, Resistor Ladder
22kΩ THT Resistor, 2, $0.00, n/a, Resistor Ladder
6mmx6mm Push Button, 10, $0.00, n/a
5-way WAGO Splitter, 2, $0.00, n/a, Power Distribution
AC Power Cable, 1, $6.99, https://www.aliexpress.com/item/1005001405584434.html, Power
**TOTAL (CAD)**,, $122.99,,
**TOTAL (USD)**,, $87.95,,
